Player,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreeKicksFor,FreeKicksAgainst,BrownlowVotes,Contested,ContestedMarks  ,MarksInside50,1%  ,Bounces,GoalAssists,TOG,PositionDef,PositionInsideMid,PositionRuck,PositionFor,Win
"Ross, Jack",10,7,9,0,0,0,4,1,10,2,5,1,1,0,6,0,0,0,0,2,85,0,0,0,0,0
"Short, Jayden",19,9,6,0,0,0,1,5,2,0,2,0,1,0,5,0,0,0,0,0,86,1,0,0,0,0
"Smith, Kaleb",9,3,2,0,0,0,0,1,1,1,6,0,2,0,3,0,0,3,0,0,84,1,0,0,0,0
"Sonsie, Tyler",9,3,3,0,2,0,1,2,1,0,3,0,1,0,0,0,1,0,0,0,77,0,0,0,0,0
"Taranto, Tim",14,2,15,1,0,0,5,2,1,6,7,1,1,1,13,0,1,0,0,1,81,0,1,0,0,0
"Trainor, Luke",15,4,4,0,0,0,2,5,0,2,4,1,0,0,7,0,0,4,0,0,81,1,0,0,0,0
"Trezise, James",9,4,12,0,0,0,2,3,1,1,3,1,1,0,7,0,0,0,1,1,81,0,0,0,0,0
"Vlastuin, Nick",14,5,2,0,0,0,4,5,1,0,2,0,1,0,3,2,0,1,0,0,84,1,0,0,0,0
"Ah Chee, Callum",6,7,3,1,1,0,3,1,2,2,2,0,1,0,3,0,1,2,0,1,81,0,0,0,1,1
"Andrews, Harris",9,7,3,0,0,0,1,1,0,0,4,0,1,0,3,0,0,5,0,0,95,1,0,0,0,1
"Answerth, Noah",5,4,4,0,0,0,3,1,0,1,1,1,0,0,4,0,0,4,0,0,82,1,0,0,0,1
"Ashcroft, Levi",11,4,11,1,2,0,1,2,1,0,0,3,0,0,7,0,0,0,0,0,72,0,0,0,0,1
"Ashcroft, Will",16,4,8,2,0,0,4,2,5,5,2,1,0,0,8,0,0,1,1,1,76,0,1,0,0,1
"Bailey, Zac",10,2,3,3,0,0,3,0,6,0,3,1,0,0,0,0,2,0,0,1,84,0,1,0,0,1
